INV1;REAL1;SP4;REAL2;REAL3;SP3;INV2;G1;SP1;SP5;INV3;REAL4;SP2;INV4
2;-2;3;0;3;3;3;3;3;3;-3;-1;-3;3
12.02.2025 22:53:43;12.02.2025 22:53:49;12.02.2025 22:53:56;12.02.2025 22:54:21;12.02.2025 22:54:31;12.02.2025 22:54:44;12.02.2025 22:54:49;12.02.2025 22:54:53;12.02.2025 22:54:59;12.02.2025 22:55:19;12.02.2025 22:55:23;12.02.2025 22:55:30;12.02.2025 22:55:34;12.02.2025 22:55:40
