INV1;REAL1;SP4;REAL2;REAL3;SP3;INV2;G1;SP1;SP5;INV3;REAL4;SP2;INV4
3;-1;3;2;3;3;3;3;1;3;-1;0;-3;3
12.02.2025 23:10:08;12.02.2025 23:10:12;12.02.2025 23:10:19;12.02.2025 23:10:26;12.02.2025 23:10:45;12.02.2025 23:10:48;12.02.2025 23:10:53;12.02.2025 23:10:56;12.02.2025 23:11:03;12.02.2025 23:11:08;12.02.2025 23:11:11;12.02.2025 23:11:16;12.02.2025 23:11:21;12.02.2025 23:11:27
