INV1;REAL1;SP4;REAL2;REAL3;SP3;INV2;G1;SP1;SP5;INV3;REAL4;SP2;INV4
3;-1;3;3;1;3;1;3;3;3;-2;0;-3;3
12.02.2025 23:01:37;12.02.2025 23:01:41;12.02.2025 23:02:00;12.02.2025 23:02:09;12.02.2025 23:02:17;12.02.2025 23:02:36;12.02.2025 23:02:50;12.02.2025 23:02:56;12.02.2025 23:03:08;12.02.2025 23:03:18;12.02.2025 23:03:26;12.02.2025 23:03:32;12.02.2025 23:03:36;12.02.2025 23:04:19
