vrbody;I felt that the virtual body I saw when looking down at myself was my own body.;not at all;very much
mirror;I felt that the virtual body I saw when looking down at myself in the mirror was my own body.;not at all;very much
features;I felt that my virtual body resembled my own (real) body in terms of shape, skin tone, or other visual features.;not at all;very much
twobodies; I felt as if I had two bodies;not at all;very much
agency;I felt that the movements of the virtual body were caused by my own movements.;not at all;very much
