INV1;REAL1;SP4;REAL2;REAL3;SP3;INV2;G1;SP1;SP5;INV3;REAL4;SP2;INV4
2;-1;3;2;1;3;3;3;3;3;-2;-1;-3;3
12.02.2025 22:44:59;12.02.2025 22:45:22;12.02.2025 22:45:31;12.02.2025 22:45:45;12.02.2025 22:45:53;12.02.2025 22:46:01;12.02.2025 22:46:20;12.02.2025 22:46:28;12.02.2025 22:46:33;12.02.2025 22:46:41;12.02.2025 22:46:51;12.02.2025 22:47:10;12.02.2025 22:47:20;12.02.2025 22:47:24
